date_time,comment/reply,name,url
"Aug-10-2023, 20:34:32",,kartoffel,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115161
"Aug-10-2023, 20:34:35",,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115163
"Aug-10-2023, 20:34:45",,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115168
"Aug-10-2023, 20:34:48",Can we get a look at her pussy?,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115170
"Aug-10-2023, 20:34:49",,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115171
"Aug-10-2023, 20:35:18","same seed but added a generic negative prompt, wow didnt realize how anime-weighted my negative prompt was",Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115194
"Aug-10-2023, 20:35:49",,Dantion,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115212
"Aug-10-2023, 20:35:59",,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115217
"Aug-10-2023, 20:36:27",How old are we? Can we see those titties?,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115237
"Aug-10-2023, 20:36:30",>>904115133,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115240
"Aug-10-2023, 20:36:52",these have been with my tuna salad mix model,kartoffel,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115255
"Aug-10-2023, 20:37:35",Slut,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115274
"Aug-10-2023, 20:37:40",Very cool gen and beautiful face but it seems to perfect and airbrushed given the setting. Less makeup and a bit of dirt & sweat also on the face would help take it to the next level.,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115279
"Aug-10-2023, 20:37:54",Ear Ear,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115289
"Aug-10-2023, 20:38:57",An….oral exam.,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115322
"Aug-10-2023, 20:39:16",,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115342
"Aug-10-2023, 20:39:29",Kill yourself pedonigger.,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115357
"Aug-10-2023, 20:39:49",">>904115289
good ears can be a pain lol",Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115372
"Aug-10-2023, 20:39:50",:D,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115375
"Aug-10-2023, 20:39:58",">>904114949
You got some Hiroaki Samura art in there?",Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115386
"Aug-10-2023, 20:40:25",Put a dress on and suck my cock.,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115402
"Aug-10-2023, 20:40:34",Professor Harkness moment,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115405
"Aug-10-2023, 20:40:49",would marry a gob,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115411
"Aug-10-2023, 20:41:00",,Dantion,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115418
"Aug-10-2023, 20:41:34",,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115443
"Aug-10-2023, 20:42:20",,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115469
"Aug-10-2023, 20:42:42",with azovya rpg tools model,kartoffel,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115485
"Aug-10-2023, 20:42:50",,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115490
"Aug-10-2023, 20:42:51",Cute forest nymph,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115492
"Aug-10-2023, 20:43:21",,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115504
"Aug-10-2023, 20:43:23",i love her,piss man,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115505
"Aug-10-2023, 20:44:08",,kartoffel,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115530
"Aug-10-2023, 20:44:19",easynegative = asian i guess,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115541
"Aug-10-2023, 20:45:20",A PIPA DO VOVÔ NÃO SOBE MAIS! VOCÊ ME OUVIU CUPERTINO?,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115577
"Aug-10-2023, 20:45:21",she is Very pretty,piss man,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115578
"Aug-10-2023, 20:45:29","That's why you don't use an anime negative embedding for realistic images, genius",Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115588
"Aug-10-2023, 20:45:35",">>904114514
>[claude monet|junji ito] style, pointillism technique, 1986, magazine advertisement,
Nice. Gonna try using that. Also gonna add detailed pencils by Hiroaki Samura.",Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115591
"Aug-10-2023, 20:45:39","sorry, just shut down SD so can't make more today",Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115594
"Aug-10-2023, 20:46:08","That's a really good point thank anon, I will try to do something about that.",Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115619
"Aug-10-2023, 20:46:33","voluptuous :o
>>904115255
i appreciate that you frequently try a lot of new styles. it's always interesting seeing what you make.
>>904115541
i have (((asian))) in my negatives twice. and if i want asian, i don't even need to remove them from the negatives. i just add it in positives. the datasets are pretty heavily skewed...",Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115638
"Aug-10-2023, 20:46:59",,Dantion,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115652
"Aug-10-2023, 20:47:51","ty

>>904115638
beautiful",Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115692
"Aug-10-2023, 20:48:44",,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115725
"Aug-10-2023, 20:49:06",">>904115638
i am kind of in love with my current setup, after many days and weeks of fail prompting",kartoffel,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115747
"Aug-10-2023, 20:49:48",Wow sexy.,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115779
"Aug-10-2023, 20:50:17",i don't care for it,kartoffel,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115801
"Aug-10-2023, 20:50:54",Bro looks like MAP Megamind.,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115831
"Aug-10-2023, 20:50:54",the small bed is too cute,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115833
"Aug-10-2023, 20:51:01","can u recommend a good one?

>>904115638
here's w/ easynegative weighted down to 0.4, and asian added to neg promp",Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904115836
