Date,Content,URL,Thread
"Jun-23-2023, 12:44:37",2nd largest fraction in germany.,http://boards.4chan.org/bant/thread/17930355/afd#p17930355,AfD
"Jun-23-2023, 12:48:10",do you support them what do you like about them or not like,http://boards.4chan.org/bant/thread/17930355/afd#p17930383,AfD
"Jun-23-2023, 12:49:17",linke will win,http://boards.4chan.org/bant/thread/17930355/afd#p17930391,AfD
