date_time,comment/reply,name,url
"Aug-10-2023, 20:27:43",,Anonymous,http://boards.4chan.org/b/thread/904114874/ruined-women-thread#p904114874
"Aug-10-2023, 20:40:38",hopefully the little shit goes to private school to avoid getting beaten and ridiculed,Anonymous,http://boards.4chan.org/b/thread/904114874/ruined-women-thread#p904115406
"Aug-10-2023, 20:42:09",he will never have normalcy,Anonymous,http://boards.4chan.org/b/thread/904114874/ruined-women-thread#p904115461
"Aug-10-2023, 20:42:14",At least it's not black.,Anonymous,http://boards.4chan.org/b/thread/904114874/ruined-women-thread#p904115464
"Aug-10-2023, 20:44:20",">So...That mixed thing is yours?
God Tier Kek",Anonymous,http://boards.4chan.org/b/thread/904114874/ruined-women-thread#p904115542
"Aug-10-2023, 20:50:25",,Anonymous,http://boards.4chan.org/b/thread/904114874/ruined-women-thread#p904115809
