"User","Content"
"Javier_Satan","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"MarioArtur0","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"hrrielwt","que ganas de colgarme"
"thatsnotmyacc","@archivefortae @BTS_twt q hago para dejar esta sensación de querer colgarme"
"joaquimel","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"soyleds","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"ElTioBarry","@Garmy87 Ok, yo llevare el whisky y las ganas de colgarme. XD"
"Herlopez79","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"naradellanto","Tengo historia a primera hora,estoy por llevarme mi propia cuerda y colgarme de cualquier chincheta."
"Lausilvarock","Como me gusta colgarme escuchando Callejeros !"
"YocGeorge","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"giannaviest","EZEQUIEL ME PIDIÓ PERDÓN POR WSP POR COLGARME, deberia hacerlo?¿"
"Tito5745","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"kathyizag","@vcaputto si me muero no podré colgarme más.."
"LuisNangus","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"_coc__o","Gracias Garau por colgarme."
"Atl_agua","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"CaputoRo","@MttAlee mmmmmmmm SI. grax por colgarme amore de mi heart"
"AminCorrea","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"soydavidnarcia","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"paucarmona__","Se pusieron todos de acuerdo para colgarme creo"
"CaraotaDigital","#Internacionales | \"Tenían el plan de colgarme\": la fuerte revelación del expresidente afgano  ⭕ https://t.co/QcZxPcrv8a"
"neofull","#PiropoDeHoy - \"Niña, dame una pestaña de tus ojos para colgarme de amor por ti.\""
"bngstark","nao la sonrisita de seungmin cuando chris se pone de mimoso, sale colgarme https://t.co/aSrzl28TfS"
"Pauadriss","Guapo  te quiero muchísimo  😍😍😍😍😍 @JPMinor  te extraño  . Extraño  colgarme de ti 😂😂"
"SoyElZope","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"keonderyland","Menos mal que mañana veo a mis amigos porque estoy a )( de colgarme jajsjdj"
"tarafernandez14","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"LuisRi_cardo","Todo sea por no colgarme"
"BetoVelascoM","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"camilamddd","MINERVA DE MIERDA DEJA DE COLGARME"
"jamarish","@_Miss_Donovan me tengo que comprar una barra de esas para colgarme de la puerta y sencillamente colgarme all day"
"YulianoOrlando","Necesito colgarme con algo hasta que me de sueño"
"mireyareg","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"_FranSch","jaa en cualquier momento me cortan la luz por colgarme con ir porque paja ir."
"gatited30","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"calles66","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"belenpozzaglio","Voy a intentar recuperar todas esas amistades que perdi, supongo que voy a tener que pedir perdon 120 mil veces por colgarme antes."
"Josealonn","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"sagproduccione1","Del \"ya me canse\" al  \"no trabajo para colgarme medallitas\": Cosas del Gobierno de EPN http://t.co/4T2bo0b2sf vía @PulsoInf"
"LuisNangus","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"killutao","procederé a colgarme porque no tengo stones"
"Los_Rockets","Qué me queda por hacer? no sé, tal vez deba colgarme de una vez..."
"TomyBorzillo","Falta poco para que vuelva y va a dejar de colgarme! Wujuuuu"
"JaimeMorenoMx","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"CamiDeRosa1","Harta de los vicios, harta de las drogas, harta de no tener el valor para colgarme de una soga🎵"
"IvoLatorre","@NahVillalva eu forrita deja de colgarme ayer otra vez"
"Nufomatuz","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"Gabriel16055693","@C5N Vivo en micro lujan cuyo me van a desalojar en marzo nadie me ayuda mi hija 7 años soy pencionado no contributiba quiero pagar en cuotas un lote no pido nada gratis q me den oportunidad vivir es pedir mucho nadie m escucha tendre q colgarme digo no aguanto mas no"
"maduradascom","¡GRAVE! “Por si acaso, no tengo planes de colgarme, cortarme las venas o la garganta”: Opositor ruso advierte desde prisión que no contempla suicidarse #24Ene #Venezuela  https://t.co/GVbJEqx6MF"
"soygomez_berna","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"sabakunocle","Creo que la mejor idea sera colgarme de un árbol, para que luego los niños me usen de piñata, ¿mejor no?"
"susanbustamant7","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"Kink_Stefano","Era empezar bien el año pero empecé mal, así que por el momento, no caer en depre y colgarme"
"mario802256","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"cemocira","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"MaryMar122","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"herickalee","@Adlin798 I swear this was me with that exam...estudié un día completo, cosa que nunca hago, y para qué? para colgarme? no vuelvo...salgo mejor cuando estudio cinco minutos antes smh"
"Luis_Enriquez3","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"My_Meronyan","Igual y le llevo las empanadas a la enana o a mi abue pero la huea paja que no vean el que \"no como carne\" y como que se lo paseen  Si mañana me preguntan le digo  Nah, no me voy a quedar tengo una cita con el cable de mi pc para colgarme"
"Barrbaramarisol","Y colgarme a upa como un monito"
"olgattre","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"wonderthedark","desde mñn ya empiezo a procesar q el lunes empiezo a estudiar y no paro hasta dar la psu chau q ganas de colgarme"
"jenminnie_","Me quiero sacar la columna vertebral y luego colgarme con ella https://t.co/ahZFJG1N7N"
"EnlaceReal","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"LuuciRebagliati","@RodriPortas Mira, vos cállate y más vale que dejes de colgarme"
"jualpen","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"leei_insfran","Pueden degar de colgarme los voy a matar uno por uno"
"Forteskun","Cada día tengo unas poquitas ganas más de colgarme amigos de valladolid y estudios sois mi última esperanza"
"mario802256","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"humbertocstr","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"freak4louis","hoy tengo mas ganas de colgarme que de costumbre"
"GatitaCortazar","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"sosoalarcon","ojala la genye dejara de colgarme"
"ursulallan","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"MarcosDaamian","Me hizo sentir re mal mi mamá. Me cagó a pedo por colgarme hoy y no haber estado en el cumple."
"iWomanVibez","@repeatsaigon Que ganas de colgarme"
"CinLoureiro","Extraño colgarme en el perfume de alguien en mi ropa."
"Crisnanda89","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"NancySolorsano","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"bngstark","man no tenia internet y me perdí medio chan's room,, estaba a esto )( de colgarme"
"jEcryInPetra","@dear_pilar Me e perdido de tu carita hermosa 🤡🤡🤡? Procedo a colgarme"
"turulo10","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"santicev","@gomezisagomez_ voooy a colgarme del candelabrooo del candelabroóóooo"
"AnaBellott","\"Verás,  a mí lo que me va es colgarme en tu vuelo... para pedirte desde ahí que sigas siendo lo que quiero.\""
"fxstrdust","Creo que está fallando el internet voy a colgarme"
"mitzie3183","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"YemBarrionuevo","Quiero dormir pero no tengo mucho sueño, es medio temprano y a la vez no quiero colgarme mucho... Estóy complicada esta noche no? Jajajaja"
"IamChile","Y ahora sale Victoria Roma. Chao, me fui a colgarme XD"
"Justdxmon","Como ya van a dar las 4 a.m y no tengo ni un poco de sueño quiero socializar, desde que volví no hablo con mas de dos personas, dejen su mg y me van a tener en su dm. Prometo no colgarme."
"AnaXicana","Tengo ganas de ponerme mi traje, mi medalla, colgarme mi tambor. Y entrar por la magica calle Santiago @AMRedencion @RedencionRocio"
"camigonzx","FABRICIO LA CONCHA TUYA DEJA DE COLGARME"
"Loa_panzere","LM de lo mejorrrrr que tengo,gracias por estar siempre y escucharme!te amo y deja de colgarme que te re extraño"
"ElisaOber1","Colgarme de cualquiera que le guste trasnochar."
"Belacin__","si me iba a hablar para después colgarme vamos mal, muy mal"
"cheke85","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"MiaGreyT_","@xFinoceronte *Me recojo el pelo con una goma y luego, me pongo el abrigo para por último, colgarme el bolso en el hombro* ¿Te queda mucho? En unos +"
"grettelgzn","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"JuanCarlos3o","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"qifuri","espero descansar un poco hoy que no se cuanto llevo ya durmiendo fatal estoy a nada de colgarme con un cinturon"
"Emipe14","un # para colgarme ??"
"quadero","Puta la weá! Mi deco de WiTV aparece desactivado, la señora que paga por mí sin saber no tiene niun respeto…obligado a colgarme en otro lado"
"tromepe","#ENTREVISTA | Daniela Darcourt: \"No he necesitado colgarme ni meterme con alguien para hacerme de un nombre\" ► https://t.co/I14NaM8icS https://t.co/fY88s5rlzG"
"penelope_zalas","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"qifuri","a ver que dice hoy la bruja segun lo que sea voy buscando cinturón para colgarme"
"pi4kiev_","Benjamin Stevens Quiero colgarme de tus tetas si"
"JuaniHartman","Quiero colgarme"
"Klszxn","@Rxbdi Ponme pa colgarme de tu fama😏🤙"
"CamilaQBJ","Lo mejor que me puede pasar es colgarme. ni mas ni menos."
"_Amagali","Estoy a un grito de tirarme de mi terraza, colgarme o buscar que me atropellen."
"lunazaitsev","@albanovikov hola, cuando pensas dejar s colgarme?"
"GregoriaPimente","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"8IamEight8","@rutharenasm Jo, gracias, me siento muy sola con tanto príncipe y princesa de las bufandas adorando el otoño... Jolín yo también veo las hojas amarillas y rojas y me parecen bonitas, pero el año pasado me lo pasé cavilando como colgarme del roble del jardín... No es muy divertido vivir así.. https://t.co/IPtdnSsr0G"
"arcticxmaria","Tengo la ilusión de colgarme del brazo de Liam y que me levante cual mono. Soy así de rara, no me juzguéis."
"NestorAugusto4","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"JaviiFrutos","'Colgarme de cualquiera que le guste trasnochar.'"
"alimal8310","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"xlaflacapili","hoy se complotaron todos en colgarme, gracias totales"
"shineluIu","@todosconlosquemehecolgado no fue mi intención, los estudios me tienen así, perdón por colgarme.  Prometo hoy llegar a sus dm con un pastelito para que no me pequen. :D"
"taeIunares","voY A COLGARME"
"maividaal","bored: tenemos que volver a hablAR deja de colgarme, te quiero niña goals"
"silvanodom","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"EchandoCamote","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"JuanCarlos3o","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"solalvaraddo","Cuando las cosas no van bien,cuando las cosas no están bien, puedo colgarme a caminar."
"roma1guillen","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"_sweeran25","@cielitouchiha sii y hasta el día de hoy me dan ganas de colgarme cuando la escucho"
"lvsshinya","lo de wxs fue un error ayuda yo ya estaba por colgarme"
"lauchasan_","@vazul_34 entonces deja de colgarme ahre"
"JavierZoma","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"SelenaRoocks","@IvanMallete seguime o te pego dos patadas una por no seguirme y otra por colgarme elegi"
"spantpa","no puedo con tanto me voy a dormir o mejor a colgarme de una soga"
"matimarin_","Debe ser un deporte olimpico colgarme"
"MarcelaLonky","@RegCivil_Aysen @RegCivil_Chile @intendenciaysen @GobProvCoyh @AysenGob @GcarreraGober Señores nuevamente preguntó \"porque no puedo poner mi apellido y luego el paterno a mi hija????\"\"\" Que debo hacer una marcha, quemar sus oficinas, colgarme en la plaza para que respondan ...."
"MaiPerezZ","Necesito salir de mi casa aunque sea 5 min, creo que si sigo acá voy a colgarme del techo de mi pieza"
"scnsitivxaf","Gracias a todos por colgarme, los odio"
"joaquimel","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"celestitafray","@GonzaloNicolasH algún día podrías hablarme sin colgarme, aprovechó que dijiste azul (?) we"
"myuloves","@bluvkoo estoy a punto de colgarme"
"junygguk","mañana ya me mandan trabajos de nuevo por favor que ganas de colgarme no quiero más"
"TaamiSadran","No se quien le dejo a matias colgarme q negro del orto"
"luvitrompo","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"saraisanch","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"donnyaffairs","quiero colgarme cada vez que dice que le cambiamos la vida😭😭😭😭😭😭😭😭"
"acristinar16","@Nuniilaa y si me sintiera 100% segura de que se hacerlo todo estaria mas tranquila, pero no, voy a colgarme :-)"
"fjvizuete","@mery_soldier Uwu (tengo ganas de colgarme de un olivo XD)"
"Oh_dinosaur","@el_enzote No sé aun estoy nervioso y tirito por lo de Dia &lt;3 al ver el 50 y 50 quería colgarme D:"
"mynameisntalejo","#Guapas (Ah, re que ya está terminando, ni colgarme)."
"destujohnson","no le voy a hablar nunca más por colgarme"
"bearngofourhrts","Una de las conclusiones de mi vida es que solo quiero colgarme de la mente de alguien. Que me enamore su manera de pensar."
"arielttorr","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"DonkhodeHelio","Me gustaría colgarme de tu fama y partirte la madre @reygrupero"
"Seferene","el cuadrúpedo y la quinoa en el fuego,me falta colgarme un crío en la espalda y toy lista pa la regresión"
"TamaraVillalpan","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"andrea35305542","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"BunnyTuxedoMask","Apenas terminé de reajustar los subtitulos para el bluray de Sailor Moon Crystal.  Iré a colgarme de los ojos. Es tarde 😴"
"MateMolano1","@lineskka conchetumare yo otpeaba 3sh tengo 100% de efectividad en colgarme con una soga"
"IamChile","¿Qué me queda por hacer? no sé, tal vez deba colgarme de una vez #MITSUBISHISUMMER"
"linogglow","voy a colgarme"
"Lyra_Araik","Todo va a estar a mi favor para no colgarme yo lo se"
"NoeAlvara2","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"Memmohernandez","¿De cuantos metros tiene que ser la cuerda para colgarme ya a la verga?😕 http://t.co/33zmDBq9rU"
"ilogicDreams","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"Nofxpunk","Unas ganas del recital de Nofx y colgarme de la busarda de Fat Mike mientras le acaricio la cresta"
"oursoIe","Arroz con leche me quiero morir, colgarme de una soga y dejar de sufrir; con esa sí, con esa no, con esa soguita me ahorco yo."
"jjaetiny","las ganas de colgarme son muchas https://t.co/zRjmLOiSiB"
"grettelgzn","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
