"User","Content"
"SoyColochaYQUE","Me voy a poner a escuchar mi PL para colgarme del polín. 😥😭"
"dearhorann16","Voy a proceder a colgarme de un árbol, chau https://t.co/4jLzD9CyHB"
"NestorAugusto4","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"reesejacquelin2","RT luluortiz95: En estos días nada más me dan ganas de llorar y colgarme de un pinche puente."
"Gallardo_Mati","#MiGranProblemaEs colgarme en contestar"
"AnaBellott","\"Verás... a mí lo que me va es colgarme en tu vuelo, para pedirte desde ahí que sigas siendo lo que quiero.\""
"bngstark","los ojitos yendo a colgarme https://t.co/vfrzaFHL1Q"
"kkubiyeon","que voy a hacer sin los mails de chae? colgarme"
"giaviest","Olivia Solari hola mi bebe hermosa como te extraño hija de puta  Tanara Kiev hola pelotuda de mierda deja de colgarme yo tambien te edtraño"
"camilaorlando_","Amo colgarme y seguir haciendo lo que estoy haciendo"
"AndreaAndrea119","Ready pa colgarme en bioquimica"
"Anthonype456","Quiero colgarme en alguna peli no se"
"Psicosferico_","Metallica después del Kill 'Em All no me parece Thrash salvo por algunas canciones, podéis colgarme si queréis."
"LoveBrianda","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"spearbluvie","me perdi el live de ryu y chaer voy a colgarme"
"giulianaricco3","y todavia no tengo ganas de colgarme con alguna peli, lamierdaaaaaaa"
"sebastianspn","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"mario802256","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"hoszerk","Ah, chingada madre. Acaba de llamar mi atención alguien y abrí la ventanita para escribirle PERO ME HABÍA COLGADO A MÍ, O SEA QUIÉN TE CREES QUE ERES. YO PUEDO COLGAR A TODOS PERO NADIE PUEDE COLGARME A MÍ, APRENDE DE 1 VEZ."
"NestorAugusto4","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"yoonuvitas","@ilvsrubius déjame colgarme de tu fama"
"MeelNqn","Que horrible tener que salir horrible en la foto, pero bue, cosas que pasan por colgarme y no ir a hacerlo antes"
"writeadiaryfor","@Juansisanz Sabes que lo haré.... Me lo debes por colgarme xD"
"LoreNorton9","Hace tiempo que quiero contarte Como es esto de estar sin medidas Sin tener que cortar cada parte De respirar cuando estás a escondidas El caso es que ya se como olvidarte  Y sin embargo no encuentro el instante Y aunque el daño supere a la imagen Es un cuadro que quiero colgarme"
"Ulises_FabianN","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"Crisnanda89","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"GimeAguus","Con quien hablo toda la noche? 󾌧󾌧  Sin colgarme󾍃󾍔 Hableeen󾬑❤󾬖"
"quadero","@hayquestarloco @volantinosa OSOM! y yo que estaba por colgarme por culpa de eso(?)"
"ElsitaCancino","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"asitroses","Marica, a partir del otro periodo iremos a presencial en mi colegio, no pienso ir y si eso implica colgarme de verdad voy de una"
"callmedm_","cuentas de updates, dejen de postear que las tote bags son gratuitas, que estoy a dos de colgarme"
"rasograjales","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"ivonecan","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"armandosto","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"Camileston_","El marido d mi mamá salió en la tele ya puedo colgarme d su fama"
"NancySolorsano","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"taegiimiau","al lado de mi cama tengo un recuadro de las fotos de mi otro gato, no se superar, todos los días recuerdo las 5:00pm con tristeza y ganas de colgarme"
"Partynextjoin","Estoy re loco y me pinta querer colgarme acostado con alguien, abrazarla y hablar de mil pelotudeces, no tengo a nadie y estoy asi &lt;/33"
"Rebe_mossa","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"coquito4life","de colgarme para estudiar ni hablemos"
"patyruizruiz","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"soygertru","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"minteezhvn","tengo que ver que hago para mañana con secundaria que ganas de colgarme que tengo"
"carlosmontoyagt","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"EchandoCamote","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"delahoguera28","Que viajeeee, ta voy a dejar de colgarme con todo"
"MiaGreyT_","@xFinoceronte *Desvío la mirada al suelo soltando un largo suspiro y al colgarme los pies, los muevo, rozando las puntillas contra el césped* ¿Por +"
"lucascasas03","harto de no tener los huevos para colgarme de una soga"
"niccmendieta","@ZoeDunsmore sos hermosa deja de colgarme loka nos tenemos que juntar"
"hyuunjinnie_","Voy a colgarme https://t.co/MAWrKjlSoC"
"kokkis10","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"bellerosexs","@sinfoniaengris Podés no colgarme?????"
"RoxanaRamosRR","Necesito colgarme una placa que diga: \"nunca te hagas algo diferente en las uñas, nunca te gusta nada.\" https://t.co/fd3LzRHxwH"
"allarxundme","Esta perra me habla, para colgarme."
"2viana_vargas","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"Nico10151","Me hablan pa colgarme.o ke"
"uva98","@planetdiego shhh, nadie sabe d esas, ser wampira en estos días no es fácil, colgarme de día y esconderlas c/vez es más difícil! cómo tas?"
"alegrotix","-Te he dicho que no me colgaras +¿Qué quieres? -Hablar +Pues llama a otra, ¿De acuerdo? Escúchame, capullo... -¡No, escúchame tú, pequeña zorra! ¡Si vuelves a colgarme te destriparé como a un pescado, ¿Entendido?! #Scream https://t.co/eMgzEnAWf0"
"BraianGtz","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"El_Mojadochis","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"rarastaman","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"MatiCastro18","Estaria bien colgarme a ver tele"
"WallsxLou1","ENCIMA RECIEN EMPIEZO LA SECUNDARIA Y YA NO QUIERO SABER NADA DE LA ESCUELA SABES QUIERO IR A OTRA PARTE Y COLGARME"
"JuaniHartman","quiero colgarme"
"ailengarrcia","habrá alguna persona q me hable sin colgarme? mmm no"
"NestorAugusto4","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"manukheir","@felimcri COLGARME como siempre"
"joaselda","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"rrichard16","@Michellebadillo Quisiera se vampiro y colgarme en tu balcon, no para chuparte la sangre sino para hacerte el amor"
"labalteira","@nahuelzn @Nekiwa @InsomniosAticos @Tomoyo_Emi Ey! Vengo a colgarme a los saludos, feliz cumpleaños!!"
"LudmilaUrrutia_","Tengo que empezar el curso de fotografía. No puedo colgarme más"
"SaezPauli","otro mas que me dice colgada, loco soy especial no es mi culpa colgarme"
"xlaflacapili","bue todos se pusieron de acuerdo en colgarme"
"turulo10","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"TamaraVillalpan","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"AnaBellott","Verás a mí lo que me va es colgarme en tu vuelo, para pedirte desde ahí que sigas, que sigas siendo lo que quiero."
"BenelliCamila","tkmil por colgarme Gimenez☺"
"printmyg","el tremendo lineup que se mando grammy este año y justo los chicos no pueden estar presentes dios quiero colgarme"
"ValeMandrile","Tengo a las 4.30 fisioterapeuta espero no colgarme"
"OriaanaJ","estoy cantando floricienta loco, que onda? necesito ya una novela para llegar de la escuela y colgarme con algo de eso."
"imblt97","@illuminatespos @alwaysathestars que lindo día para colgarme"
"RebecaM16","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"joaquimel","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"badgaldechi","\"colgarme de cualquiera que le guste trasnochar.\""
"sergioredex","pa matarme x colgarme en tu sonrisa"
"Ferdinandonv","A colgarme con #Jackass"
"MilagrosGrosky_","JAJAJJAJAJAJAJ odiio colgarme y no responder los wa me oidio ajajjajaojxnasodfkf"
"gasparvaa","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"Los_Rockets","Qué me queda por hacer? no sé, tal vez deba colgarme de una vez..."
"vntskjin","empezamos bien el día con ganas de colgarme"
"julinarcoo","@taIcuaI Deja de colgarme wsp 😠"
"orneabdo","@orneabdo_ @elias_carca no paras d colgarme x la serie, t odio creo"
"Ferdinandonv","Voy a colgarme con el #GTA. #Pausa"
"Klszxn","Some1 bio x bio para colgarme de sus follows"
"MiltonRamos1978","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"Sofia_Bermani","Es que tin me hace colgarme con skins ah"
"pi4kiev_","Fan de colgarme del cuello de las personas mas altas que yo 😍🙌"
"blasgiesler","@stilescohan por colgarme"
"MirenaGomez","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"lenarjnez","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"penefobia666","viy a matarme colgarme tiratme de un sexto piso https://t.co/ebQ9QewKc6"
"MiaGreyT_","@xFinoceronte apo ede Jesu *mi gesto se dulcifica más aún y muevo los piececitos al colgarme*"
"charcoalstains","No hablemos de tarea que mañana vuelvo al colegio y quiero colgarme."
"rarastaman","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"X1Lopez","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"JuanF1899","Quiero ser tu galán tu Johnny Weissmüller tu pequeño tarzán y colgarme en las lianas de tu selva virgen que quizás ya no es mas.."
"Josefa_jefa","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"bngstark","@artsbyracha ysi espero no colgarme antes :)"
"telurico10","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"kenobini","quiero colgarme porque lo primero que hice al despertar fue venirme a tragar un paquete de galletas, basta"
"jajumbo10","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"fallininthemoon","apareció louis y yo que estaba a punto de colgarme por que tengo que estudiar danza 😭"
"jazminhuer","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"PaquitoHdz270","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"papimusli","aqui saliendo de colgarme en el primer examen"
"NancySolorsano","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"pazblackwelll","Si vas a colgarme ni te gastes en hablarme"
"audreyhepburned","Examen de Bioquímica: a) Estudiar y colgarme b) pichar y colgarme"
"BrendaLopezMx1","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"maruojedab","Siempre que me acuesto tardo en dormirme entonces es: o mirar boludeces en el cel- o intentar dormir, colgarme pensando, y no dormir"
"carlilla5","Nonono... el dia de recontra mierda que vengo manejando. Estoy para colgarme en 3,2,1"
"pablitosancho","Veras a mi lo que me va es colgarme en tu vuelo Para pedirte desde ahí que sigas siendo lo que quiero.. (8)(8)"
"tsuntold","11:11 @befourkellin que vayas, verte, colgarme de vos como un koala💛"
"CamilaaCoronel_","@PriisciilaPlana Bueniii, prometo no colgarme ☺"
"solecitotpwk","hoy es el día del abrazo y espero mínimo un abrazo pq soy capaz de colgarme"
"manzedillw","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"ArturoVelasco18","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"C4rranza","Ahora tengo la capacidad de dejar de darle bola a algo y colgarme en otra cosa."
"wonderthedark","unas ganas de colgarme"
"___ardz","Leo los cinco capítulos del libro y hago repaso, pero la libreta está llena de notas y tengo que combinar las dos cosas para evitar colgarme en el examen. #VoaLloraL"
"alrightaylor","chicos le hable en cualquier momento empieza a colgarme porque se va a dar cuenta que soy 0 interesante y aburrida 😔"
"NestorAugusto4","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"luber_ludejim","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"NancySolorsano","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"Medio_bolo","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"SofiaJudithh","Le voy a avisar a mi cuña que no voy a ir a volley ahora, antes de colgarme xp"
"xsorayx7","Ola linda deja de colgarme en wpp o te vas a comer ... — hola natt preciosa ya te contesto  https://t.co/jMPO1tIYJs"
"JulianMarro","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"Malvina_Fz","#AlgoMuyPeroMuyMio colgarme en contestar"
"GabsVenturas","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"Romigtz89","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"camigonzx","nunca voy a dejar de colgarme antes de ponerme un pantalón, ni siquiera con este frio"
"IvoLatorre","Román este es el número de @LTorreira34 llamalo no seas boludo.  PD: déjame los alambrados que voy para colgarme, sino me quedo acá en europa. Vamo arriba che"
"MirenaGomez","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"humbertocstr","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"soyleona10","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"Ricardoarss","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"tadeohrt","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"ArturoVelasco18","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"elwer0ck","@sandrixsan Quiero colgarme a mamadas de esas Ubres puta mientras estás empalada recibiendo mi semen"
"FCharloteaux","harto de no tener los huevos pa colgarme de una soga"
"AmairanieE_E","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"brianacmr","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"rarastaman","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"JoseSpada_","espero no colgarme"
"bruno4120","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"odalyschaa","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"joelqui_","Si me vas a hablar para después colgarme, mejor no me hables...ANDA Y COLATE UN POSTE DE LUZ."
"BotPereza","sentirme como una colilla entre unos labios al fumar colgarme de cualquiera que le guste trasnochar"
"maiacanndela_","Y si en vez de colgarme mejor me decis que no tenes ganas de hablarme y punto?bua"
"LauraChanonaG","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"taehyungmiofea","@pjmclvly yo con minho amiga ya no soporto de verdad estoy a nada de colgarme de cortarme mas venas ed broma ari q hago"
"yka_guerrero","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"jEcryInPetra","@akuvelpe Yo estoy con mi carta, luego me falta poner la soga en el techo pa colgarme"
"manzedillw","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"LoreVeronn","Tengo que dejar de colgarme y ponerla a Iara gratis de una vezzzzzz"
"tayronmx","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"alle_mica01","ah cuando me venis a buscar devuelta? ahre te quiero DEJA DE COLGARME GRACIAS"
"lpzmaria33","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"felisigwaldd","flako me favias hasta el orto pero no paras de colgarme un segundo😒"
"_arteinfernal","Yo quisiera saber si algún día Facundo no va a colgarme. @facusilvacjs cornudo de mierda."
"ValeVazzoler","Odio colgarme tanto"
"BelenBasilico","Odio colgarme en Connected"
"isabellakievx","Tu te quien te pensas que sos para colgarme y hacerte el boludo?"
"thvlvya","estoy muy triste q ganas de colgarme"
"jisoodaylightt","extraño a sana y a yeri voy a colgarme"
"CruzAlondrita","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"JuanaPatito","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"noheliaaqu","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"bruno4120","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"kennygomezz","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"akasadtanas","Ay sorry ee, neta no sabía que para que me guste el rock necesito vestirme del diario de negro y colgarme mil cadenas neta no sabía. .l."
"andrea35305542","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"tolteca10","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"melinabsosa","@MelinaWalker_22 12- una vez la bloquee por colgarme, si hay algo que odio es verla en todos lados pero que no me conteste 😡"
"candeperalta9","Me voy a ir cambiando para la escuela porque sino voy a colgarme y salir a las apuntadas, me conozco"
"sofiaazamer","Necesito que acá agreguen para mandar audios yo creo que esa sería la única forma de no colgarme"
"shexstill","Estoy rota, nunca había estado tan rota, lo peor es que ponen Unconditionally de fondo (MI CANCIÓN), procedo a colgarme https://t.co/1hiDGbGSnt"
"Robl_Guillermo","¿Qué me queda por hacer? No sé, tal vez deba colgarme de una vez"
"eilishdrug","man basta de colgarme"
"franluke15","Hablando de escapar o de colgarme, echarme un cable"
"yamimaida9","Gracias juli,por colgarme..."
"NoeAlvara2","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"tesdesol","Llegueee! Me voy a bañar antes de colgarme con otra cosa"
"JJrenovado","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"lvsshinya","estuve a punto de colgarme"
"JoelOsorioChame","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"Partynextjoin","Mejor voy a colgarme a mirar una peli un rato , esta re muerto esto"
"Ingbombshell","Si le pagaran a mi novio por colgarme sería millonario😒"
"livsline","ah no unas ganas de colgarme me dieron no pienso entrar mas a esta aplicacion de mierda https://t.co/lCG9U5iLc8"
"LalauMorales","Hola, quiero colgarme de Paul pero no se me ocurre nada para decir PORQUE TODO YA DIJERON."
"bansheepadme","+agradezco por todo lo que has hecho por mí, y otra cosa, DEJA DE COLGARME. ahre"
"CaraotaDigital","#18Ago  \"Tenían el plan de colgarme\": Ghani habla de su huida de Afganistán https://t.co/QcZxPcrv8a"
"bellahesyev","lo peor q pueden hacer es colgarme así q ya se murieron todos ustedes"
"lvskittylh","¿CÓMO VAS A DEJARLE DE HABLAR Y A DECIRLE QUÉ SE ALEJEN? ME VOY A CORTAR LAS VENAS Y A COLGARME. https://t.co/z5zkB4veEb"
"zeydivill","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"Natiispandri","Me altera que me hablen para colgarme mil horas 💆🏼💆🏼💆🏼"
"Vicky_LasHeras","la concha de tu madre franco, podes dejar de colgarme? gracias @Fran_Shn"
"AndrePaulaa","@tomiicuervooo Re estaría como para que dejes de colgarme igual"
"Antoin0","Are you doing anything fun this weekend? — Colgarme de un árbol para no estudiar álgebra https://t.co/UP4QQDn7qC"
"nerea_giselle","Me tengo que levantar sin problemas en una horas carajos! Sino mari se me enoja x colgarme tanto aca."
"Lucio_Pereyra","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"xlaflacapili","se complotan todos en colgarme o no darme bola"
"M477K","A colgarme haciendo todo el t.p de historia."
"NoeAguilera","@EPLeanzaok deja de colgarme por wpp, te amo"
"gasparvaa","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"meganbreuxx","Angela Torres copiandose de Melanie me dan ganas de colgarme"
"Nufomatuz","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"rafaelhdzq","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"jazminhackett_","@tan0fontanet no tenias pq colgarme igual, a mi me jode q me cuelguen y q dsps ni se les mueva un pelo para hablarme"
"Analini79","El cloro de las piletas mata el virus, en teoría. Me quedará correr mucho, colgarme de barras y nadar, por ahora. Camino por las paredes sin entrenar."
"kkubiyeon","unas ganas de colgarme"
"ramblinn_","Voy a llegar tarde al laburo por colgarme escuchando música? Tal vez."
"Diego_Bernich","@curtetti_16 Mmmmm... nose, hablame y deja de colgarme, si? Graciasss"
"EsDannielOk","Sofía deja de colgarme la puta madre que lo parió"
"LuliListe","Odio colgarme con twitter!"
"Ingbombshell","Por colgarme del sofá me caí y me golpee la espalda. Porque ante todo la viveza man"
"UnChiapaneco","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"kittysponda","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"biancahausen","@micxjbabs 00:04 dejar de colgarme"
"LuisNangus","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"pepemndiol","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"dariogerez_","te quiero loca, deja de colgarme"
"nevertheless_ft","\"Y aunque el daño supere a la imagen es un cuadro que quiero colgarme\""
"__evelyngomez","que manera de colgarme para todo"
"BotPereza","sentirme como una colilla entre unos labios al fumar colgarme de cualquiera que le guste trasnochar"
"joaquimel","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"chafirete10","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"Guti013","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"_MagaGarcia1","Che no se cansan de colgarme no? Hijos de puta"
"GilberwithanY","Permiso para colgarme https://t.co/BiQfex7mhO"
"ladonnaemobile_","@SuperFalete LOL, voy a ir a colgarme de la ducha del Congreso. Así te lo digo."
"spantpa","x dios hace unas semanas estaba por colgarme x el partido con arabia y ahora SOMOS CAMPEONESSSSSSSS"
"Jxsemcx","No pienso colgarme ninguna medalla por ser diferente a los demás"
"keonderyland","Literalmente lo único que puede salvarme de que me mate este mes es el cb de wayv y que sea ot7, dale muchachos para cuando las fechas aunque sea no ven que estoy al borde de colgarme no es chiste"
"_agusmartos","mis manos, estan hechas mierda, la barra me hizo pija y colgarme peor la puta madre"
"chiapalevantate","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"jisoodaylightt","basta como q no habrá cuarta temporada de anne with an e????? voy a colgarme"
"JuuliFratesi","graxxxxx fede por colgarme, lo tengo en cuenta"
"JuliiPetrucci","@tutealvarez10 no te pregunte igual,deja de colgarme te odio"
"MaryMar122","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"wartful","\"Y aunque el daño supere a la imagen, es un cuadro que quiero colgarme\".  \"Ya sé que no acabamos de aprender a caer y levantarnos sin romper el suelo\".  Ay, Luis Cepeda, si tú, el de las tortillas... tus letras me arañan el alma, como sólo Iván Ferreiro lo consigue.  💙"
"ivonecan","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"dyannalop","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"chafirete10","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"NetoZun","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"tumesiassoyyo","¿Será que este año tendré el coraje de colgarme?"
"notyourmolly__","@Dante_LBLdL NECESITO URGENTEMENTE LA VIGA PARA COLGARME."
"soyradames","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"CONTANDOZAFlROS","mañana se cumple 1 mes del obras y es el cumpleaños d rulos y yo no puedo estar con ella, lindo día para colgarme"
"Mafzavalap","también un panda y un koala esta pachonsito y me gusta colgarme de su espalda:3"
"Lucio_Pereyra","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"kingofthestars_","\"Podes dejar de ignorarme y escuchar mis otros audios?\" ay, es que colgarme en responder es lo mio jajaja"
"ZairaTaleb","me pintaron las ganas de colgarme pero ya es tarde:("
"Terecita_Molina","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"serialcrom","@joderkyo me dejas colgarme de tu fama"
"pilarreinn","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"Mililucie","El jueves no tengo que colgarme y ir a lo de Lu si o si sino muero."
"soyjorgecantu","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"MarioO_AlbertoO","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"FlorBrengi","@NicoNoguera6 DEJA DE COLGARME PEDAZO DE CACA PRENSADA"
"nekovitie","llevenme a sus grupos de amigos plis, prometo no colgarme https://t.co/t865udkHNR"
"danicombin","Posta que si te hablo mas de 1 semana sin colgarme valoralo pq no duro mas de 1 hs hablando con cualquier otra presona que ya termino la conversación..."
"anelimduarte","Que bronca me da colgarme en las redes y olvidarme de contestar a ver nenaaaa para que tenes cel"
"porpusejk","@jeonkista yo edtoy a punto de colgarme tiemblo de los nervios"
"diilvm01","odio la redes, solo me llenan de envidia y me dan ganas de colgarme"
"elpuchodelouis","si no m sale nada para terminar el parcial me voy a tirar del puente estoy a nada d colgarme no joke"
"shepa_mtz","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"fflorig_","@Jeesi_Martinez sos lo único que juno últimamente sin colgarme. Agradece :c (?"
"Beatthenoise","@lifeforhire_ Es que yo cuando veo cosas así solo quiero ir corriendo al punte de mi pueblo para colgarme del asco"
"chenek10","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"gamitafg","porque nadie me habla, hábleme y primeto un combo + no colgarme 🤷🏼‍♀️🤷🏼‍♀️🤷🏼‍♀️🤷🏼‍♀️"
"IvoLatorre","@NahVillalva gracias por colgarme todo el dia ;)"
"tamii_cap","Deja de colgarme siempre gila — No se quien sos JAJAJAJAJ https://t.co/XrLsC6U0WY"
"PaquitoHdz270","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"___ardz","@fabiaantr Yo a veces me reía pensando: \"Puñeta, voy a colgarme en esta cosa.\" JAJAJA, pero había algunas fáciles."
"FranciscaAnza","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"leei_insfran","Franco d mierda dega de colgarme"
"chikichiquitta","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"ifggukk","xfavor basta de usar el audio de go little rockstar en tiktok con los tannies estoy a nada de colgarme con el cable del cargador"
"isasinatra","@OneBlood69 prefiero aburrirme que colgarme"
"MariaPOrtizMx","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"Sooila","Llego el momento de colgarme en Tw jajajajaja"
"LuisNangus","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"KecaEstrada","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"ClaudiaTraba_","\"Sentirme como una colilla entre unos labios al fumar,colgarme de cualquiera que le guste trasnochar...\""
"sevencatx","@sebsstan hahaha claro ;; quiero ver las de Kyungsoo pero ahora quiero colgarme"
"Nenita_Lourdes","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"Nufomatuz","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"MiaGreyT_","@xFinoceronte encimera. Al colgarme las piernas,las muevo*"
"BotPereza","sentirme como una colilla entre unos labios al fumar colgarme de cualquiera que le guste trasnochar"
"tatyvivero__","\"@LorenCabj: Yo no se si le gusta colgarme o que\""
"El_Mojadochis","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"sofivairett","@gonzalonicolash como te gusta colgarme"
"tarafernandez14","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"ifggukk","literal la ptu de matemáticas no era de matemáticas era de geometría KTMRMWKKWKEKQ estuve a nada de colgarme ahí mismo las horas más terribles de mi vida"
"emmeligilbert","RT https://t.co/RiWszXPW20 resulta q mis viejos se olvidaron la llave de mi casa y tuve q saltar por el techo del vecino,colgarme de la re…"
"donnyaffairs","@cowbylikeh donde los estas viendo estoy por colgarme"
"elizquiroga_","Si pensas colgarme no me hables mejor"
"tendercamila","@inspiredcamila CLARO DESPUES DE COLGARME DIEZ VECES OK"
"AnaXicana","Y mañana de nuevo a ponerme mi uniforme, y colgarme mi tambor. Siempre con las mismas ganas que el primer dia :D! Que no se acabe el sueño."
"_sandredg","@iFReDaa Es lo que yo digo, tengo que colgarme el cargador como un collar, con dije y todo para despistarla."
"worts_chatz","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"AbrilCasce","clave colgarme viendo mis mensajes destacados"
"Kromago","@FlorDiNello Obvien, no me pidas perdon por colgarme cuando te hable hoy, ya te perdono"
"Tejadaluuz","Una hora no puedo colgarme tantoo"
"starfuckxr","de verdad perdón a mis amigos que he colgado. ahora sí no he querido colgarme, pero ni he tenido oportunidad de contestar como quisiera. 😔"
"kingslayxrs","s.— me pareces súper linda y aunque me ha costado una bola y parte de la otra el sacarte un tema de conversación pues te me haces muy chévere y agradable. Cuando gustes dejas de colgarme para establecer una conversación decente jaja saludos."
